Time_index,Temp_C,Rain_in,Year,Month,Day,Area,Rasters
1,30,0,1985,1,26,1,PNG_clip_MIs_19850126_Marsh_Island_Polygon_RasterClipper_area4
2,31,0.1,1986,1,13,1,PNG_clip_MIs_19860113_Marsh_Island_Polygon_RasterClipper_area4
3,33,0.2,1987,12,2,1,PNG_clip_MIs_19871202_Marsh_Island_Polygon_RasterClipper_area4
4,28,0.1,1988,12,4,1,PNG_clip_MIs_19881204_Marsh_Island_Polygon_RasterClipper_area4
5,27,0,1989,3,10,1,PNG_clip_MIs_19890310_Marsh_Island_Polygon_RasterClipper_area4
6,26,0,1989,10,20,1,PNG_clip_MIs_19891020_Marsh_Island_Polygon_RasterClipper_area4
7,25,0,1990,11,24,1,PNG_clip_MIs_19901124_Marsh_Island_Polygon_RasterClipper_area4
8,24,0,1991,4,1,1,PNG_clip_MIs_19910401Marsh_Island_Polygon_RasterClipper_area4
9,25,0.1,1992,10,12,1,PNG_clip_MIs_19921012_Marsh_Island_Polygon_RasterClipper_area4
10,24,0.2,1993,1,16,1,PNG_clip_MIs_19930116_Marsh_Island_Polygon_RasterClipper_area4
11,26,0.1,1993,9,29,1,PNG_clip_MIs_19930929_Marsh_Island_Polygon_RasterClipper_area4
12,27,0,1995,4,12,1,PNG_clip_MIs_19950412_Marsh_Island_Polygon_RasterClipper_area4
13,28,0,1995,10,21,1,PNG_clip_MIs_19951021_Marsh_Island_Polygon_RasterClipper_area4
14,29,0,1995,11,22,1,PNG_clip_MIs_19951122_Marsh_Island_Polygon_RasterClipper_area4
15,33,0,1996,4,30,1,PNG_clip_MIs_19960430_Marsh_Island_Polygon_RasterClipper_area4
16,31,0,1996,10,23,1,PNG_clip_MIs_19961023_Marsh_Island_Polygon_RasterClipper_area4
17,32,0,1996,11,8,1,PNG_clip_MIs_19961108_Marsh_Island_Polygon_RasterClipper_area4
18,30,0.5,1998,4,4,1,PNG_clip_MIs_19980404_Marsh_Island_Polygon_RasterClipper_area4
19,25,1,1998,12,16,1,PNG_clip_MIs_19981216_Marsh_Island_Polygon_RasterClipper_area4
20,24,1,1999,3,22,1,PNG_clip_MIs_19990322_Marsh_Island_Polygon_RasterClipper_area4
21,24,0.7,2000,4,25,1,PNG_clip_MIs_20000425_Marsh_Island_Polygon_RasterClipper_area4
22,23,0.6,2000,12,5,1,PNG_clip_MIs_20001205_Marsh_Island_Polygon_RasterClipper_area4
23,23,0.1,2001,11,6,1,PNG_clip_MIs_20011106_Marsh_Island_Polygon_RasterClipper_area4
24,23,0,2004,9,27,1,PNG_clip_MIs_20040927_Marsh_Island_Polygon_RasterClipper_area4
25,22,0,2006,2,5,1,PNG_clip_MIs_20060205_Marsh_Island_Polygon_RasterClipper_area4
26,24,0,2006,4,10,1,PNG_clip_MIs_20060410_Marsh_Island_Polygon_RasterClipper_area4
27,25,1,2006,5,12,1,PNG_clip_MIs_20060512_Marsh_Island_Polygon_RasterClipper_area4
28,26,1.1,2006,6,13,1,PNG_clip_MIs_20060613_Marsh_Island_Polygon_RasterClipper_area4
29,26,0.2,2008,2,27,1,PNG_clip_MIs_20080227_Marsh_Island_Polygon_RasterClipper_area4
30,25,0.3,2008,4,15,1,PNG_clip_MIs_20080415_Marsh_Island_Polygon_RasterClipper_area4
31,24,0,2008,10,8,1,PNG_clip_MIs_20081008_Marsh_Island_Polygon_RasterClipper_area4
32,26,0,2008,11,25,1,PNG_clip_MIs_20081125_Marsh_Island_Polygon_RasterClipper_area4
33,25,0.1,2009,11,12,1,PNG_clip_MIs_20091112_Marsh_Island_Polygon_RasterClipper_area4
34,26,0.3,2010,2,16,1,PNG_clip_MIs_20100216_Marsh_Island_Polygon_RasterClipper_area4
35,27,0.3,2010,10,14,1,PNG_clip_MIs_20101014_Marsh_Island_Polygon_RasterClipper_area4
36,28,0.4,2010,10,30,1,PNG_clip_MIs_20101030_Marsh_Island_Polygon_RasterClipper_area4
37,29,0.4,2010,12,1,1,PNG_clip_MIs_20101201_Marsh_Island_Polygon_RasterClipper_area4
38,30,0.5,2011,1,2,1,PNG_clip_MIs_20110102_Marsh_Island_Polygon_RasterClipper_area4
39,31,0.6,2011,4,8,1,PNG_clip_MIs_20110408_Marsh_Island_Polygon_RasterClipper_area4
40,32,0.7,2011,4,24,1,PNG_clip_MIs_20110424_Marsh_Island_Polygon_RasterClipper_area4
41,33,0.7,2011,5,10,1,PNG_clip_MIs_20110510_Marsh_Island_Polygon_RasterClipper_area4
42,34,0.8,2011,6,11,1,PNG_clip_MIs_20110611_Marsh_Island_Polygon_RasterClipper_area4
43,35,0.9,2011,8,30,1,PNG_clip_MIs_20110830_Marsh_Island_Polygon_RasterClipper_area4
44,36,1,2011,9,15,1,PNG_clip_MIs_20110915_Marsh_Island_Polygon_RasterClipper_area4
45,37,1,2011,10,1,1,PNG_clip_MIs_20111001_Marsh_Island_Polygon_RasterClipper_area4
46,38,1.1,2011,11,2,1,PNG_clip_MIs_20111102_Marsh_Island_Polygon_RasterClipper_area4
